Filename,Source_Path,Status,Max_Diameter_cm,Min_Diameter_cm,Pixel_to_CM_Ratio,Output_Path
Swimming_7-30-25_WT_0.1uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.1uMDIP_#1.jpg,Success,3.29,3.21,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_001_Swimming_7-30-25_WT_0.1uMDIP_#1.jpg
Swimming_7-30-25_WT_0.1uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.1uMDIP_#2.jpg,Success,9.99,9.99,98.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_002_Swimming_7-30-25_WT_0.1uMDIP_#2.jpg
Swimming_7-30-25_WT_0.1uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.1uMDIP_#3.jpg,Success,9.99,9.99,99.4,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_003_Swimming_7-30-25_WT_0.1uMDIP_#3.jpg
Swimming_7-30-25_WT_0.3uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.3uMDIP_#1.jpg,Success,4.41,4.17,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_004_Swimming_7-30-25_WT_0.3uMDIP_#1.jpg
Swimming_7-30-25_WT_0.3uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.3uMDIP_#2.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_005_Swimming_7-30-25_WT_0.3uMDIP_#2.jpg
Swimming_7-30-25_WT_0.3uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0.3uMDIP_#3.jpg,Success,4.61,4.38,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_006_Swimming_7-30-25_WT_0.3uMDIP_#3.jpg
Swimming_7-30-25_WT_0uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0uMDIP_#1.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_007_Swimming_7-30-25_WT_0uMDIP_#1.jpg
Swimming_7-30-25_WT_0uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0uMDIP_#2.jpg,Success,9.99,9.99,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_008_Swimming_7-30-25_WT_0uMDIP_#2.jpg
Swimming_7-30-25_WT_0uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_0uMDIP_#3.jpg,Success,9.99,9.99,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_009_Swimming_7-30-25_WT_0uMDIP_#3.jpg
Swimming_7-30-25_WT_10uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_10uMDIP_#1.jpg,Success,9.99,9.99,99.4,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_010_Swimming_7-30-25_WT_10uMDIP_#1.jpg
Swimming_7-30-25_WT_10uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_10uMDIP_#2.jpg,Success,9.99,9.99,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_011_Swimming_7-30-25_WT_10uMDIP_#2.jpg
Swimming_7-30-25_WT_10uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_10uMDIP_#3.jpg,Success,10.18,9.21,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_012_Swimming_7-30-25_WT_10uMDIP_#3.jpg
Swimming_7-30-25_WT_1uMDIP_#1.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_1uMDIP_#1.jpg,Success,3.87,3.65,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_013_Swimming_7-30-25_WT_1uMDIP_#1.jpg
Swimming_7-30-25_WT_1uMDIP_#2.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_1uMDIP_#2.jpg,Success,3.62,3.54,99.8,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_014_Swimming_7-30-25_WT_1uMDIP_#2.jpg
Swimming_7-30-25_WT_1uMDIP_#3.jpg,/Users/jinko/Desktop/Swim Diameter Project/images/7.30.25 WT-tolC in DIP/Swimming_7-30-25_WT_1uMDIP_#3.jpg,Success,2.96,2.94,99.6,/Users/jinko/Desktop/Swim Diameter Project/output/analyzed_015_Swimming_7-30-25_WT_1uMDIP_#3.jpg
